iter	RMSE
401	867358.0211
402	867205.4841
403	867113.8484
404	866698.638
405	865954.5193
406	865753.4884
407	865696.8984
408	865417.3488
409	865395.913
410	864998.6546
411	864662.3726
412	864363.358
413	864231.1341
414	863744.3952
415	863309.6143
416	862473.8404
417	862193.052
418	861803.1302
419	861361.002
420	860515.522
421	859946.8417
422	859554.3563
423	859305.4066
424	859254.6185
425	858890.8028
426	858642.3725
427	858587.4776
428	858411.8538
429	858167.189
430	857729.365
431	857590.4215
432	857525.4344
433	857317.096
434	856124.4852
435	850205.9139
436	850078.9969
437	849869.3335
438	849605.5795
439	849092.9446
440	848342.5848
441	848156.9022
442	848013.1101
443	847939.9745
444	847774.7917
445	847659.666
446	847618.2867
447	847222.2143
448	846973.8091
449	846351.7566
450	845964.642
451	845949.0209
452	845521.2096
453	844941.9823
454	844668.7731
455	844622.5097
456	844508.775
457	844174.0226
458	844009.6717
459	843814.4963
460	843537.8145
461	843261.2691
462	842975.6832
463	842845.2755
464	842791.3162
465	842541.5153
466	842337.9148
467	842234.9085
468	841897.5768
469	841713.245
470	841623.4585
471	841439.9684
472	841196.9464
473	841016.9631
474	840748.0121
475	840605.2593
476	840542.8375
477	840414.5125
478	840304.7509
479	840015.7421
480	839896.6887
481	839678.568
482	839585.3227
483	838921.9326
484	835392.4827
485	835257.523
486	835113.1567
487	834983.5006
488	834808.2842
489	834548.3465
490	834512.4448
491	834298.5269
492	834152.1379
493	829182.4866
494	828985.23
495	828926.7918
496	828847.7221
497	828783.6718
498	828659.4488
499	828382.6467
500	828175.2921
501	828009.5177
502	827883.6085
503	827775.5448
504	827682.3859
505	826680.5861
506	826546.4716
507	825856.729
508	825695.3241
509	825345.9626
510	825200.0174
511	825146.4031
512	825045.6549
513	824930.187
514	824726.8848
515	824658.7244
516	824561.5762
517	824378.4546
518	824251.046
519	824242.9661
520	824142.6671
521	823765.9988
522	823551.1724
523	823334.361
524	823232.1422
525	823123.9585
526	822933.7575
527	822365.3436
528	822233.5705
529	819721.8898
530	819431.8014
531	815193.0793
532	815006.7321
533	814812.5826
534	814626.4187
535	814515.0846
536	814394.1381
537	814293.8783
538	813964.4387
539	813842.7676
540	813243.0578
541	812907.2081
542	812781.9816
543	812438.0989
544	812405.1995
545	812252.6917
546	812150.2512
